00/00/00
(1, '08/02/2025', 'Tienda01', 1500.0, 1000.0, 2500.0)

(2, '09/03/2026', 'Tienda02', 2500.0, 1000.0, 3500.0)

(3, '08/02/25', 'Tienda01', 100.0, 1000.0, 1100.0)

(4, '08/02/25', 'Tienda02', 200.0, 2000.0, 2200.0)

(5, '08/02/25', 'Tienda03', 300.0, 3000.0, 3300.0)

(6, '08/02/2025', 'Tienda01', 1500.0, 1000.0, 2500.0)

(7, '09/03/2026', 'Tienda02', 2500.0, 1000.0, 3500.0)

(8, '08/02/2025', 'Tienda01', 1500.0, 1000.0, 2500.0)

(9, '09/03/2026', 'Tienda02', 2500.0, 1000.0, 3500.0)

(10, '08/02/2025', 'Tienda01', 1500.0, 1000.0, 2500.0)

(11, '09/03/2026', 'Tienda02', 2500.0, 1000.0, 3500.0)

(12, '08/02/2025', 'Tienda01', 1500.0, 1000.0, 2500.0)

(13, '09/03/2026', 'Tienda02', 2500.0, 1000.0, 3500.0)

(14, '08/02/2025', 'Tienda01', 1500.0, 1000.0, 2500.0)

(15, '09/03/2026', 'Tienda02', 2500.0, 1000.0, 3500.0)

(16, '08/02/25', 'Tienda01', 0.022, 0.0, 0.022)

(17, '08/02/25', 'Tienda02', 0.022, 0.0, 0.022)

(18, '08/02/25', 'Tienda03', 0.022, 0.0, 0.022)

(19, '08/02/25', 'Tienda01', 0.022, 0.0, 0.022)

(20, '08/02/25', 'Tienda02', 0.022, 0.0, 0.022)

(21, '08/02/25', 'Tienda03', 0.022, 0.0, 0.022)

(22, '08/02/25', 'Tienda01', 0.022, 0.0, 0.022)

(23, '08/02/25', 'Tienda02', 0.022, 0.0, 0.022)

(24, '08/02/25', 'Tienda03', 0.022, 0.0, 0.022)

(25, '08/02/25', 'Tienda01', 0.022, 0.02, 0.041999999999999996)

(26, '08/02/25', 'Tienda02', 0.022, 0.0, 0.022)

(27, '08/02/25', 'Tienda03', 0.022, 0.0, 0.022)

(28, '08/02/25', 'Tienda01', 0.022, 0.02, 0.041999999999999996)

(29, '08/02/25', 'Tienda02', 0.022, 0.02, 0.041999999999999996)

(30, '08/02/25', 'Tienda03', 0.022, 0.0, 0.022)

(31, '08/02/25', 'Tienda01', 0.022, 0.02, 0.041999999999999996)

(32, '08/02/25', 'Tienda02', 0.022, 0.02, 0.041999999999999996)

(33, '08/02/25', 'Tienda03', 0.022, 0.022, 0.044)
